"Ghotuo","aaa"
"Ake","aik"
"Aimele","ail"
"Aimol","aim"
"Ainu","ain","true"
"Aiton","aio"
"Burumakok","aip"
"Aimaq","aiq"
"Airoran","air"
"Amis, Nataoran","ais"
"Arikem","ait"
"Aari","aiw"
"Aighon","aix"
"Ali","aiy"
"Aja","aja"
"Aja","ajg"
"Ajië","aji"
"Arabic, South Levantine Spoken","ajp"
"Arabic, Judeo-Tunisian","ajt"
"Arabic, Judeo-Moroccan","aju"
"Ajawa","ajw"
"Amri Karbi","ajz"
"Akan","aka"
"Batak Angkola","akb"
"Mpur","akc"
"Ukpet-Ehom","akd"
"Akawaio","ake","true"
"Akpa","akf"
"Anakalangu","akg"
"Angal Heneng","akh"
"Aiome","aki","true"
"Aka-Jeru","akj"
"Inakeanon","akl"
"Aka-Bo","akm"
"Akurio","ako"
"Siwu","akp"
"Ak","akq"
"Araki","akr"
"Akaselem","aks"
"Akolet","akt"
"Akum","aku"
"Akhvakh","akv"
"Akwa","akw"
"Aka-Kede","akx"
"Aka-Kol","aky"
"Alabama","akz"
"Alago","ala","true"
"Qawasqar","alc"
"Alladian","ald"
"Aleut","ale"
"Alege","alf"
"Alawa","alh"
"Amaimon","ali"
"Alangan","alj"
"Alak","alk"
"Allar","all"
"Amblong","alm"
"Albanian, Gheg","aln"
"Larike-Wakasihu","alo"
"Alune","alp"
"Algonquin","alq"
"Alutor","alr"
"Albanian, Tosk","als"
"Altai, Southern","alt","true"
"'Are'are","alu","true"
"Alaba-K'abeena","alw"
"Amol","alx"
"Alyawarr","aly"
"Alur","alz"
"Amanayé","ama","true"
"Ambo","amb"
"Amahuaca","amc"
"Yanesha'","ame","true"
"Hamer-Banna","amf"
"Amarag","amg"
"Amharic","amh"
"Amis","ami"
"Amdang","amj"
"Ambai","amk"
"War-Jaintia","aml"
"Ama","amm"
"Amanab","amn"
"Amo","amo"
"Alamblak","amp"
"Amahai","amq"
"Amarakaeri","amr"
"Amami-Oshima, Southern","ams"
"Amto","amt"
"Amuzgo, Guerrero","amu","true"
"Ambelau","amv"
"Western Neo-Aramaic","amw"
"Anmatyerre","amx"
"Ami","amy"
"Atampaya","amz"
"Andaqui","ana","true"
"Andoa","anb"
"Ngas","anc"
"Ansus","and"
"Xârâcùù","ane","true"
"Animere","anf"
"Nend","anh"
"Andi","ani"
"Anor","anj"
"Goemai","ank"
"Anu","anl"
"Anal","anm"
"Obolo","ann"
"Andoque","ano"
"Angika","anp"
"Jarawa","anq"
"Andh","anr"
"Anserma","ans"
"Antakarinya","ant"
"Anuak","anu"
"Denya","anv"
"Anaang","anw"
"Andra-Hus","anx"
"Anyin","any"
"Anem","anz"
"Angolar","aoa"
"Abom","aob"
"Pemon","aoc"
"Andarum","aod"
"Angal Enen","aoe"
"Bragat","aof"
"Angoram","aog"
"Arma","aoh"
"Anindilyakwa","aoi"
"Mufian","aoj"
"Arhö","aok"
"Alor","aol"
"Ömie","aom"
"Arapesh, Bumbita","aon"
"Aore","aor"
"Taikat","aos"
"A'tong","aot"
"Atorada","aox"
"Uab Meto","aoz","true"
"Sa'a","apb"
"Arabic, North Levantine Spoken","apc"
"Arabic, Sudanese Spoken","apd"
"Bukiyip","ape"
"Agta, Pahanan","apf"
"Ampanang","apg"
"Athpariya","aph"
"Apiaká","api"
"Apache, Jicarilla","apj"
"Apache, Kiowa","apk"
"Apache, Lipan","apl"
"Apache, Mescalero-Chiricahua","apm"
"Apinayé","apn"
"Apalik","apo"
"Apma","app"
"A-Pucikwar","apq"
"Arop-Lokep","apr"
"Arop-Sissano","aps"
"Apatani","apt"
"Apurinã","apu"
"Apache, Western","apw"
"Aputai","apx"
"Apalaí","apy"
"Safeyoka","apz"
"Archi","aqc"
"Arigidi","aqg"
"Atohwaim","aqm"
"Alta, Northern","aqn"
"Arhâ","aqr"
"Akuntsu","aqz"
"Arabic, Standard","arb"
"Arabana","ard"
"Arrarnta, Western","are"
"Aragonese","arg"
"Arhuaco","arh"
"Arikara","ari"
"Arapaso","arj"
"Arikapú","ark"
"Arabela","arl"
"Mapudungun","arn"
"Araona","aro"
"Arapaho","arp"
"Arabic, Algerian Spoken","arq"
"Karo","arr"
"Arabic, Najdi Spoken","ars"
"Arbore","arv"
"Arawak","arw"
"Aruá","arx"
"Arabic, Moroccan Spoken","ary"
"Arabic, Egyptian Spoken","arz","true"
"Asu","asa","true"
"Assiniboine","asb"
"Asmat, Casuarina Coast","asc"
"Asas","asd"
"American Sign Language","ase","true"
"Australian Sign Language","asf"
"Cishingini","asg"
"Abishira","ash"
"Buruwai","asi"
"Saari","asj"
"Ashkun","ask"
"Asilulu","asl"
"Assamese","asm"
"Asurini of Xingu","asn"
"Dano","aso"
"Algerian Sign Language","asp"
"Austrian Sign Language","asq"
"Asuri","asr"
"Ipulo","ass"
"Asturian","ast"
"Asurini, Tocantins","asu","true"
"Asoa","asv"
"Australian Aborigines Sign Language","asw"
"Muratayak","asx"
"Asmat, Yaosakor","asy"
"As","asz"
"Pele-Ata","ata","true"
"Zaiwa","atb"
"Manobo, Ata","atd"
"Atemble","ate","true"
"Ivbie North-Okpela-Arhe","atg"
"Attié","ati"
"Atikamekw","atj"
"Ati","atk"
"Agta, Mt. Iraya","atl"
"Ata","atm"
"Ashtiani","atn"
"Atong","ato"
"Atta, Pudtol","atp"
"Aralle-Tabulahan","atq"
"Waimiri-Atroarí","atr"
"Gros Ventre","ats"
"Atta, Pamplona","att"
"Reel","atu"
"Altai, Northern","atv"
"Atsugewi","atw"
"Arutani","atx"
"Aneityum","aty"
"Arta","atz"
"Asumboa","aua"
"Alugu","aub"
"Waorani","auc"
"Anuta","aud"
"Kx'au||'ein","aue"
"Aguna","aug"
"Aushi","auh"
"Anuki","aui"
"Awjilah","auj"
"Heyo","auk"
"Aulua","aul"
"Asu","aum"
"One, Molmo","aun"
"Auyokawa","auo"
"Makayam","aup"
"Anus","auq"
"Aruek","aur"
"Austral","aut"
"Auye","auu"
"Awyi","auw"
"Aurá","aux"
"Awiyaana","auy"
"Arabic, Uzbeki Spoken","auz"
"Avar","ava"
"Avau","avb"
"Alviri-Vidari","avd"
"Avestan","ave"
"Avikam","avi"
"Arabic, Eastern Egyptian Bedawi Spoken","avl"
"Avatime","avn"
"Agavotaguerra","avo"
"Aushiri","avs"
"Au","avt"
"Avokaya","avu","true"
"Avá-Canoeiro","avv"
"Awadhi","awa"
"Awa","awb"
"Cicipu","awc"
"Awetí","awe"
"Awbono","awh"
"Aekyom","awi"
"Awabakal","awk"
"Arawum","awm"
"Awngi","awn"
"Awak","awo"
"Awera","awr"
"Awyu, South","aws"
"Araweté","awt"
"Awyu, Central","awu"
"Awyu, Jair","awv"
"Awun","aww"
"Awara","awx"
"Awyu, Edera","awy"
"Abipon","axb"
"Arára, Mato Grosso","axg"
"Yaka","axk"
"Xaragure","axx"
"Awar","aya","true"
"Gbe, Ayizo","ayb"
"Aymara, Southern","ayc"
"Ayabadhu","ayd"
"Ayere","aye"
"Ginyanga","ayg"
"Arabic, Hadrami Spoken","ayh"
"Leyigha","ayi"
"Akuku","ayk"
"Arabic, Libyan Spoken","ayl"
"Arabic, Sanaani Spoken","ayn"
"Ayoreo","ayo"
"Arabic, North Mesopotamian Spoken","ayp"
"Ayi","ayq"
"Aymara, Central","ayr"
"Ayta, Sorsogon","ays"
"Ayta, Magbukun","ayt"
"Ayu","ayu"
"Ayi","ayx"
"Ayta, Tayabas","ayy"
"Mai Brat","ayz"
"Azha","aza","true"
"Azerbaijani, South","azb"
"Amuzgo, San Pedro Amuzgos","azg"
"Azerbaijani, North","azj"
"Amuzgo, Ipalapa","azm"
"Awing","azo"
"Atta, Faire","azt"
"Nahuatl, Highland Puebla","azz"
"Babatana","baa"
"Bainouk-Gunyuño","bab"
"Badui","bac"
"Baré","bae"
"Nubaca","baf"
"Tuki","bag"
"Bahamas Creole English","bah"
"Barakai","baj"
"Bashkort","bak"
"Bamanankan","bam"
"Bali","ban"
"Waimaha","bao"
"Bantawa","bap"
"Bavarian","bar"
"Basaa","bas"
"Bada","bau"
"Vengo","bav"
"Bambili-Bambui","baw"
"Bamun","bax"
"Batuley","bay"
"Tunen","baz"
"Baatonum","bba"
"Barai","bbb"
"Batak Toba","bbc"
"Bau","bbd"
"Bangba","bbe"
"Baibai","bbf"
"Barama","bbg"
"Bugan","bbh"
"Barombi","bbi"
"Ghomálá'","bbj"
"Babanki","bbk"
"Bats","bbl"
"Babango","bbm"
"Uneapa","bbn"
"Konabéré","bbo"
"Banda, West Central","bbp"
"Bamali","bbq"
"Girawa","bbr"
"Bakpinka","bbs"
"Mburku","bbt"
"Kulung","bbu"
"Karnai","bbv"
"Baba","bbw"
"Bubia","bbx"
"Befang","bby"
"Arabic, Babalia Creole","bbz"
"Bai, Central","bca"
"Bainouk-Samik","bcb"
"Balochi, Southern","bcc"
"Babar, North","bcd"
"Bamenyam","bce"
"Bamu","bcf"
"Baga Binari","bcg"
"Bariai","bch"
"Baoulé","bci"
"Bardi","bcj"
"Bunaba","bck"
"Bicolano, Central","bcl"
"Bannoni","bcm"
"Bali","bcn"
"Kaluli","bco"
"Bali","bcp"
"Bench","bcq"
"Babine","bcr"
"Kohumono","bcs"
"Bendi","bct"
"Awad Bing","bcu"
"Shoo-Minda-Nye","bcv"
"Bana","bcw"
"Bacama","bcy"
"Bainouk-Gunyaamolo","bcz"
"Bayot","bda"
"Basap","bdb"
"Emberá-Baudó","bdc"
"Bunama","bdd"
"Bade","bde"
"Biage","bdf"
"Bonggi","bdg"
"Baka","bdh"
"Burun","bdi"
"Bai","bdj"
"Budukh","bdk"
"Bajau, Indonesian","bdl"
"Buduma","bdm"
"Baldemu","bdn"
"Morom","bdo"
"Bende","bdp"
"Bahnar","bdq"
"Bajau, West Coast","bdr"
"Burunge","bds"
"Bokoto","bdt"
"Oroko","bdu"
"Bodo Parja","bdv"
"Baham","bdw"
"Budong-Budong","bdx"
"Bandjalang","bdy"
"Badeshi","bdz"
"Beaver","bea"
"Bebele","beb"
"Iceve-Maci","bec"
"Bedoanas","bed"
"Byangsi","bee"
"Benabena","bef"
"Belait","beg"
"Biali","beh"
"Bakati'","bei"
"Bedawiyet","bej"
"Bebeli","bek"
"Belarusan","bel","true"
"Bemba","bem"
"Bengali","ben","true"
"Beami","beo"
"Behoa","bep"
"Beembe","beq"
"Besme","bes"
"Bété, Guiberoua","bet"
"Blagar","beu"
"Bété, Daloa","bev"
"Betawi","bew"
"Jur Modo","bex"
"Beli","bey"
"Bena","bez"
"Bari","bfa"
"Bareli, Pauri","bfb"
"Bai, Northern","bfc"
"Bafut","bfd"
"Betaf","bfe"
"Bofi","bff"
"Kayan, Busang","bfg"
"Blafe","bfh"
"British Sign Language","bfi"
"Bafanji","bfj"
"Ban Khor Sign Language","bfk"
"Banda-Ndélé","bfl"
"Mmen","bfm"
"Bunak","bfn"
"Birifor, Malba","bfo"
"Beba","bfp"
"Badaga","bfq"
"Bazigar","bfr"
"Bai, Southern","bfs"
"Balti","bft"
"Gahri","bfu"
"Bondo","bfw"
"Bantayanon","bfx"
"Bagheli","bfy"
"Pahari, Mahasu","bfz"
"Gwamhi-Wuri","bga"
"Bobongko","bgb"
"Haryanvi","bgc"
"Bareli, Rathwi","bgd"
"Bauria","bge"
"Bangandu","bgf"
"Bugun","bgg"
"Giangan","bgi"
"Bangolan","bgj"
"Bit","bgk"
"Bo","bgl"
"Baga Mboteni","bgm"
"Balochi, Western","bgn"
"Baga Koga","bgo"
"Balochi, Eastern","bgp"
"Bagri","bgq"
"Chin, Bawm","bgr"
"Tagabawa","bgs"
"Bughotu","bgt"
"Mbongno","bgu"
"Warkay-Bipim","bgv"
"Bhatri","bgw"
"Balkan Gagauz Turkish","bgx"
"Benggoi","bgy"
"Banggai","bgz"
"Bharia","bha"
"Bhili","bhb"
"Biga","bhc"
"Bhadrawahi","bhd"
"Bhaya","bhe"
"Odiai","bhf"
"Binandere","bhg"
"Bukharic","bhh"
"Bhilali","bhi"
"Bahing","bhj"
"Bimin","bhl"
"Bathari","bhm"
"Bohtan Neo-Aramaic","bhn"
"Bhojpuri","bho"
"Bima","bhp"
"Tukang Besi South","bhq"
"Malagasy, Bara","bhr"
"Buwal","bhs"
"Bhattiyali","bht"
"Bhunjia","bhu"
"Bahau","bhv"
"Biak","bhw"
"Bhalay","bhx"
"Bhele","bhy"
"Bada","bhz"
"Badimaya","bia"
"Bissa","bib"
"Bikaru","bic"
"Bidiyo","bid"
"Bepour","bie"
"Biafada","bif"
"Biangai","big"
"Vaghat-Ya-Bijim-Legeri","bij"
"Bile","bil","true"
"Bimoba","bim"
"Edo","bin"
"Nai","bio"
"Bila","bip"
"Bipi","biq"
"Bisorio","bir"
"Bislama","bis"
"Berinomo","bit"
"Biete","biu"
"Birifor, Southern","biv"
"Kol","biw"
"Bijori","bix"
"Birhor","biy"
"Baloi","biz"
"Budza","bja"
"Banggarla","bjb"
"Bariji","bjc"
"Bandjigali","bjd"
"Biao-Jiao Mien","bje"
"Barzani Jewish Neo-Aramaic","bjf"
"Bidyogo","bjg"
"Bahinemo","bjh"
"Burji","bji"
"Kanauji","bjj"
"Barok","bjk"
"Bulu","bjl"
"Bajelani","bjm"
"Banjar","bjn"
"Banda, Mid-Southern","bjo"
"Malagasy, Southern Betsimisaraka","bjq"
"Binumarien","bjr"
"Bajan","bjs"
"Balanta-Ganja","bjt"
"Busuu","bju"
"Bedjond","bjv"
"Bakwé","bjw"
"Itneg, Banao","bjx"
"Bayali","bjy"
"Baruga","bjz"
"Kyak","bka"
"Baka","bkc"
"Binukid","bkd"
"Beeke","bkf"
"Buraka","bkg"
"Bakoko","bkh"
"Baki","bki"
"Pande","bkj"
"Brokskat","bkk"
"Berik","bkl"
"Kom","bkm"
"Bukitan","bkn"
"Kwa'","bko"
"Boko","bkp"
"Bakairí","bkq"
"Bakumpai","bkr"
"Sorsoganon, Northern","bks"
"Boloki","bkt"
"Buhid","bku"
"Bekwarra","bkv"
"Bekwil","bkw"
"Baikeno","bkx"
"Bokyi","bky"
"Bungku","bkz"
"Blackfoot","bla"
"Bilua","blb"
"Bella Coola","blc"
"Bolango","bld"
"Balanta-Kentohe","ble"
"Buol","blf"
"Balau","blg"
"Kuwaa","blh"
"Bolia","bli"
"Bolongan","blj"
"Karen, Pa'o","blk"
"Beli","blm"
"Bicolano, Southern Catanduanes","bln"
"Anii","blo"
"Blablanga","blp"
"Baluan-Pam","blq"
"Blang","blr"
"Balaesang","bls"
"Tai Dam","blt"
"Bolo","blv"
"Balangao","blw"
"Ayta, Mag-Indi","blx"
"Notre","bly"
"Balantak","blz"
"Lame","bma"
"Bembe","bmb"
"Biem","bmc"
"Baga Manduri","bmd"
"Limassa","bme"
"Bom","bmf"
"Bamwe","bmg"
"Kein","bmh"
"Bagirmi","bmi"
"Bote-Majhi","bmj"
"Ghayavi","bmk"
"Bomboli","bml"
"Malagasy, Northern Betsimisaraka","bmm"
"Bina","bmn"
"Bambalang","bmo"
"Bulgebi","bmp"
"Bomu","bmq"
"Muinane","bmr"
"Kanuri, Bilma","bms"
"Biao Mon","bmt"
"Burum-Mindik","bmu"
"Bum","bmv"
"Bomwali","bmw"
"Baimak","bmx"
"Bemba","bmy"
"Baramu","bmz"
"Bonerate","bna"
"Bookan","bnb"
"Banda","bnd"
"Bintauna","bne"
"Masiwang","bnf"
"Benga","bng"
"Bangi","bni"
"Tawbuid, Eastern","bnj"
"Bierebo","bnk"
"Boon","bnl"
"Batanga","bnm"
"Bunun","bnn"
"Bantoanon","bno"
"Bola","bnp"
"Bantik","bnq"
"Butmas-Tur","bnr"
"Bundeli","bns"
"Bentong","bnu"
"Beneraf","bnv"
"Bisis","bnw"
"Bangubangu","bnx"
"Bintulu","bny"
"Beezen","bnz"
"Bora","boa"
"Aweer","bob"
"Tibetan, Central","bod"
"Mundabli","boe"
"Bolon","bof"
"Bamako Sign Language","bog"
"Boma","boh"
"Barbareño","boi"
"Anjam","boj"
"Bonjo","bok"
"Bole","bol"
"Berom","bom"
"Bine","bon"
"Bozo, Tiemacèwè","boo"
"Bonkiman","bop","true"
"Bogaya","boq"
"Borôro","bor"
"Bosnian","bos","true"
"Bongo","bot"
"Bondei","bou"
"Tuwuli","bov"
"Rema","bow"
"Buamu","box"
"Bodo","boy"
"Bozo, Tiéyaxo","boz"
"Dakaka","bpa"
"Barbacoas","bpb"
"Banda-Banda","bpd"
"Bonggo","bpg"
"Botlikh","bph"
"Bagupi","bpi"
"Binji","bpj"
"Orowe","bpk"
"Broome Pearling Lugger Pidgin","bpl"
"Biyom","bpm"
"Dzao Min","bpn"
"Anasi","bpo"
"Kaure","bpp"
"Malay, Banda","bpq"
"Blaan, Koronadal","bpr"
"Blaan, Sarangani","bps"
"Barrow Point","bpt"
"Bongu","bpu"
"Marind, Bian","bpv"
"Bo","bpw"
"Bareli, Palya","bpx"
"Bishnupriya","bpy"
"Bilba","bpz"
"Tchumbuli","bqa"
"Bagusa","bqb"
"Boko","bqc"
"Bung","bqd"
"Baga Kaloum","bqf"
"Bago-Kusuntu","bqg"
"Baima","bqh"
"Bakhtiâri","bqi"
"Bandial","bqj"
"Banda-Mbrès","bqk"
"Bilakura","bql"
"Wumboko","bqm"
"Bulgarian Sign Language","bqn"
"Balo","bqo"
"Busa","bqp"
"Biritai","bqq"
"Burusu","bqr"
"Bosmun","bqs"
"Bamukumbit","bqt"
"Boguru","bqu"
"Begbere-Ejar","bqv"
"Buru","bqw"
"Baangi","bqx"
"Benkala Sign Language","bqy"
"Bakaka","bqz"
"Braj Bhasha","bra"
"Lave","brb"
"Berbice Creole Dutch","brc"
"Baraamu","brd"
"Breton","bre","true"
"Bera","brf"
"Baure","brg"
"Brahui","brh"
"Mokpwe","bri"
"Bieria","brj"
"Birked","brk"
"Birwa","brl"
"Barambu","brm"
"Boruca","brn"
"Brokkat","bro"
"Barapasi","brp"
"Breri","brq"
"Birao","brr"
"Baras","brs"
"Bitare","brt"
"Bru, Eastern","bru"
"Bru, Western","brv"
"Bellari","brw"
"Bodo","brx"
"Burui","bry"
"Bilbil","brz"
"Abinomn","bsa"
"Bisaya, Brunei","bsb"
"Oniyan","bsc"
"Wushi","bse"
"Bauchi","bsf"
"Bashkardi","bsg"
"Kati","bsh"
"Bassossi","bsi"
"Bangwinji","bsj"
"Burushaski","bsk"
"Basa-Gumna","bsl"
"Busami","bsm"
"Barasana-Eduria","bsn"
"Buso","bso"
"Baga Sitemu","bsp"
"Bassa","bsq"
"Bassa-Kontagora","bsr"
"Akoose","bss"
"Basketo","bst"
"Bahonsuai","bsu"
"Baga Sobané","bsv"
"Baiso","bsw"
"Yangkam","bsx"
"Bisaya, Sabah","bsy"
"Bata","bta"
"Bati","btc"
"Batak Dairi","btd"
"Gamo-Ningi","bte"
"Birgit","btf"
"Bété, Gagnoa","btg"
"Bidayuh, Biatah","bth"
"Burate","bti"
"Malay, Bacanese","btj"
"Bhatola","btl"
"Batak Mandailing","btm"
"Ratagnon","btn"
"Bikol, Rinconada","bto"
"Budibud","btp"
"Batek","btq"
"Baetora","btr"
"Batak Simalungun","bts"
"Bete-Bendi","btt"
"Batu","btu"
"Bateri","btv"
"Butuanon","btw"
"Batak Karo","btx"
"Bobot","bty"
"Batak Alas-Kluet","btz"
"Bua","bub"
"Bushi","buc"
"Ntcham","bud"
"Bushoong","buf"
"Bugis","bug"
"Bunu, Younuo","buh"
"Bongili","bui"
"Basa-Gurmana","buj"
"Bugawac","buk"
"Bulgarian","bul","true"
"Bulu","bum"
"Sherbro","bun"
"Terei","buo"
"Busoa","bup"
"Brem","buq"
"Bokobaru","bus"
"Bungain","but"
"Budu","buu"
"Bun","buv"
"Bubi","buw"
"Boghom","bux"
"Bullom So","buy"
"Bukwen","buz"
"Barein","bva"
"Bube","bvb"
"Baelelea","bvc"
"Baeggu","bvd"
"Malay, Berau","bve"
"Boor","bvf"
"Bonkeng","bvg"
"Bure","bvh"
"Belanda Viri","bvi"
"Baan","bvj"
"Bukat","bvk"
"Bolivian Sign Language","bvl"
"Bamunka","bvm"
"Buna","bvn"
"Bolgo","bvo"
"Birri","bvq"
"Burarra","bvr"
"Bati","bvt"
"Malay, Bukit","bvu"
"Baniva","bvv"
"Boga","bvw"
"Dibole","bvx"
"Baybayanon","bvy"
"Bauzi","bvz"
"Bwatoo","bwa"
"Namosi-Naitasiri-Serua","bwb"
"Bwile","bwc"
"Bwaidoka","bwd"
"Karen, Bwe","bwe"
"Boselewa","bwf"
"Barwe","bwg"
"Bishuo","bwh"
"Baniwa","bwi"
"Bwamu, Láá Láá","bwj"
"Bauwaki","bwk"
"Bwela","bwl"
"Biwat","bwm"
"Bunu, Wunai","bwn"
"Borna","bwo"
"Mandobo Bawah","bwp"
"Bobo Madaré, Southern","bwq"
"Bura-Pabir","bwr"
"Bomboma","bws"
"Bafaw-Balong","bwt"
"Buli","bwu"
"Bwa","bww"
"Bunu, Bu-Nao","bwx"
"Bwamu, Cwi","bwy"
"Bwisi","bwz"
"Bauro","bxa"
"Belanda Bor","bxb"
"Molengue","bxc"
"Pela","bxd"
"Ongota","bxe"
"Bilur","bxf"
"Bangala","bxg"
"Buhutu","bxh"
"Pirlatapa","bxi"
"Bayungu","bxj"
"Lubukusu","bxk"
"Jalkunan","bxl"
"Buriat, Mongolia","bxm"
"Burduna","bxn"
"Barikanchi","bxo"
"Bebil","bxp"
"Beele","bxq"
"Buriat, Russia","bxr"
"Busam","bxs"
"Buriat, China","bxu"
"Berakou","bxv"
"Bankagooma","bxw"
"Borna","bxx"
"Binahari","bxz"
"Batak","bya"
"Bikya","byb"
"Ubaghara","byc"
"Benyadu'","byd"
"Pouye","bye"
"Bete","byf"
"Baygo","byg"
"Bhujel","byh"
"Buyu","byi"
"Bina","byj"
"Biao","byk"
"Bayono","byl"
"Bidyara","bym"
"Bilen","byn"
"Biyo","byo"
"Bumaji","byp"
"Basay","byq"
"Baruya","byr"
"Burak","bys"
"Berti","byt"
"Medumba","byv"
"Belhariya","byw"
"Qaqet","byx"
"Buya","byy"
"Banaro","byz"
"Bandi","bza"
"Andio","bzb"
"Bribri","bzd"
"Bozo, Jenaama","bze"
"Boikin","bzf"
"Babuza","bzg"
"Buang, Mapos","bzh"
"Bisu","bzi"
"Belize Kriol English","bzj"
"Nicaragua Creole English","bzk"
"Boano","bzl"
"Bolondo","bzm"
"Boano","bzn"
"Bozaba","bzo"
"Kemberano","bzp"
"Buli","bzq"
"Biri","bzr"
"Brazilian Sign Language","bzs"
"Burmeso","bzu"
"Bebe","bzv"
"Basa","bzw"
"Bozo, Hainyaxo","bzx"
"Obanliku","bzy"
"Evant","bzz"
"Ch'orti'","caa"
"Garifuna","cab"
"Chuj","cac"
"Caddo","cad"
"Laalaa","cae"
"Carrier, Southern","caf"
"Nivaclé","cag"
"Cahuarano","cah"
"Kaqchikel","cak"
"Carolinian","cal"
"Cemuhî","cam"
"Chambri","can"
"Chácobo","cao"
"Chipaya","cap"
"Nicobarese, Car","caq"
"Carib","car"
"Tsimané","cas"
"Catalan-Valencian-Balear","cat","true"
"Cavineña","cav"
"Callawalla","caw"
"Chiquitano","cax"
"Cayuga","cay"
"Canichana","caz"
"Cabiyarí","cbb"
"Carapana","cbc"
"Carijona","cbd"
"Chipiajes","cbe"
"Chimila","cbg"
"Cagua","cbh"
"Chachi","cbi"
"Ede Cabe","cbj"
"Chavacano","cbk"
"Chin, Bualkhaw","cbl"
"Nyahkur","cbn"
"Izora","cbo"
"Cashibo-Cacataibo","cbr"
